cage,batch,date0,date_pupa,date_adults,num_larvae,num_pup,num_ad
1,1,134,155,167,30,2,2
2,1,134,NA,NA,30,0,0
3,1,134,NA,164,30,0,1
4,1,134,155,163,30,2,2
4,1,134,155,176,30,2,2
7,1,134,155,NA,30,1,0
9,1,134,155,NA,30,6,0
10,1,134,155,NA,30,1,0
11,1,134,155,NA,30,5,0
12,1,134,153,NA,30,2,0
13,1,134,155,NA,30,2,0
14,1,134,155,NA,30,6,0
15,2,147,157,169,30,4,2
15,2,147,157,169,30,4,2
15,2,147,160,169,30,4,2
15,2,147,174,169,30,4,2
16,2,147,157,167,30,9,4
16,2,147,157,169,30,9,4
16,2,147,157,169,30,9,4
16,2,147,157,181,30,9,4
16,2,147,157,NA,30,9,4
16,2,147,157,NA,30,9,4
16,2,147,160,NA,30,9,4
16,2,147,160,NA,30,9,4
17,2,147,157,167,30,9,1
17,2,147,157,NA,30,9,1
17,2,147,157,NA,30,9,1
17,2,147,157,NA,30,9,1
17,2,147,157,NA,30,9,1
17,2,147,157,NA,30,9,1
17,2,147,157,NA,30,9,1
17,2,147,157,NA,30,9,1
17,2,147,157,NA,30,9,1
18,2,147,NA,167,30,4,5
18,2,147,157,169,30,4,5
18,2,147,157,169,30,4,5
18,2,147,157,169,30,4,5
18,2,147,157,169,30,4,5
19,2,147,160,167,30,9,3
19,2,147,157,169,30,9,3
19,2,147,157,169,30,9,3
19,2,147,157,NA,30,9,3
19,2,147,157,NA,30,9,3
19,2,147,157,NA,30,9,3
19,2,147,157,NA,30,9,3
19,2,147,157,NA,30,9,3
19,2,147,157,NA,30,9,3
21,2,147,160,167,30,10,1
21,2,147,160,NA,30,10,1
21,2,147,160,NA,30,10,1
21,2,147,160,NA,30,10,1
21,2,147,160,NA,30,10,1
21,2,147,160,NA,30,10,1
21,2,147,160,NA,30,10,1
21,2,147,160,NA,30,10,1
21,2,147,160,NA,30,10,1
21,2,147,160,NA,30,10,1
23,2,146,160,169,30,7,6
23,2,146,160,169,30,7,6
23,2,146,160,169,30,7,6
23,2,146,160,169,30,7,6
23,2,146,160,174,30,7,6
23,2,146,160,176,30,7,6
23,2,146,160,NA,30,7,6
24,2,146,157,169,30,13,3
24,2,146,157,169,30,13,3
24,2,146,157,171,30,13,3
24,2,146,157,NA,30,13,3
24,2,146,157,NA,30,13,3
24,2,146,157,NA,30,13,3
24,2,146,157,NA,30,13,3
24,2,146,157,NA,30,13,3
24,2,146,157,NA,30,13,3
24,2,146,160,NA,30,13,3
24,2,146,160,NA,30,13,3
24,2,146,160,NA,30,13,3
24,2,146,160,NA,30,13,3
25,2,146,157,167,30,7,3
25,2,146,157,169,30,7,3
25,2,146,157,169,30,7,3
25,2,146,157,NA,30,7,3
25,2,146,157,NA,30,7,3
25,2,146,157,NA,30,7,3
25,2,146,160,NA,30,7,3
26,2,146,160,167,30,13,11
26,2,146,160,167,30,13,11
26,2,146,160,169,30,13,11
26,2,146,160,169,30,13,11
26,2,146,160,169,30,13,11
26,2,146,160,169,30,13,11
26,2,146,160,169,30,13,11
26,2,146,160,169,30,13,11
26,2,146,160,169,30,13,11
26,2,146,157,169,30,13,11
26,2,146,157,169,30,13,11
26,2,146,157,NA,30,13,11
26,2,146,174,NA,30,13,11
27,2,146,157,171,30,8,9
27,2,146,160,169,30,8,9
27,2,146,160,169,30,8,9
27,2,146,160,169,30,8,9
27,2,146,160,169,30,8,9
27,2,146,160,169,30,8,9
27,2,146,160,169,30,8,9
27,2,146,160,169,30,8,9
28,2,146,157,169,30,8,3
28,2,146,160,169,30,8,3
28,2,146,160,169,30,8,3
28,2,146,160,NA,30,8,3
28,2,146,160,NA,30,8,3
28,2,146,160,NA,30,8,3
28,2,146,160,NA,30,8,3
28,2,146,160,NA,30,8,3
29,3,160,NA,183,20,0,1
30,3,160,174,181,20,1,1
31,3,160,178,NA,20,2,0
32,3,160,NA,NA,20,0,0
33,3,160,174,NA,20,2,0
33,3,160,178,NA,20,2,0
34,3,160,NA,181,20,0,1
35,3,160,174,181,20,2,2
35,3,160,178,183,20,2,2
36,3,160,169,NA,20,1,0
37,3,160,178,181,20,5,1
37,3,160,174,NA,20,5,1
37,3,160,174,NA,20,5,1
37,3,160,174,NA,20,5,1
37,3,160,174,NA,20,5,1
38,3,160,169,181,20,7,4
38,3,160,169,181,20,7,4
38,3,160,174,181,20,7,4
38,3,160,174,181,20,7,4
38,3,160,174,NA,20,7,4
38,3,160,174,NA,20,7,4
38,3,160,174,NA,20,7,4
39,3,160,169,NA,20,7,0
39,3,160,174,NA,20,7,0
39,3,160,174,NA,20,7,0
39,3,160,174,NA,20,7,0
39,3,160,174,NA,20,7,0
39,3,160,174,NA,20,7,0
39,3,160,174,NA,20,7,0
40,3,160,169,181,20,3,2
40,3,160,169,183,20,3,2
40,3,160,169,NA,20,3,2
41,3,160,169,178,20,9,1
41,3,160,169,NA,20,9,1
41,3,160,174,NA,20,9,1
41,3,160,174,NA,20,9,1
41,3,160,174,NA,20,9,1
41,3,160,174,NA,20,9,1
41,3,160,178,NA,20,9,1
41,3,160,178,NA,20,9,1
41,3,160,178,NA,20,9,1
42,3,160,169,181,20,10,6
42,3,160,169,181,20,10,6
42,3,160,174,181,20,10,6
42,3,160,174,181,20,10,6
42,3,160,174,181,20,10,6
42,3,160,174,181,20,10,6
42,3,160,174,181,20,10,6
42,3,160,174,181,20,10,6
42,3,160,174,181,20,10,6
42,3,160,174,181,20,10,6
